stress_threshold,reversion_threshold,vix_bull_fragile,gex_override,pos_stress,pos_reversion,pos_fragile,pos_quiet,pos_neutral,sharpe_ratio,total_return,max_drawdown,num_trades,avg_position
0.94,1.06,35,True,0.0,1.0,0.5,1.0,0.5,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.7,1.0,0.3,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.7,1.0,0.5,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.7,1.0,0.7,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.8,1.0,0.3,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.6,1.0,0.3,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.5,1.0,0.7,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.5,1.0,0.3,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.8,1.0,0.7,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.8,1.0,0.5,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,15,True,0.0,1.0,0.8,1.0,0.7,0.835198618289468,5.723315946328019,-0.20881038255985224,568,0.8815040650406505
0.94,1.06,15,True,0.0,1.0,0.8,1.0,0.3,0.835198618289468,5.723315946328019,-0.20881038255985224,568,0.8815040650406505
0.94,1.06,15,True,0.0,1.0,0.8,1.0,0.5,0.835198618289468,5.723315946328019,-0.20881038255985224,568,0.8815040650406505
0.94,1.06,25,True,0.0,1.0,0.6,1.0,0.3,0.834771269179679,6.288184218070791,-0.21200328013584505,190,0.9506097560975609
0.94,1.06,25,True,0.0,1.0,0.6,1.0,0.5,0.834771269179679,6.288184218070791,-0.21200328013584505,190,0.9506097560975609
0.94,1.06,25,True,0.0,1.0,0.6,1.0,0.7,0.834771269179679,6.288184218070791,-0.21200328013584505,190,0.9506097560975609
0.94,1.02,25,True,0.0,1.0,0.5,1.0,0.3,0.8344350519366492,5.688879559631781,-0.21303048463330337,277,0.9119664634146342
0.94,1.02,25,True,0.0,1.0,0.5,1.0,0.5,0.8344350519366492,5.688879559631781,-0.21303048463330337,277,0.9119664634146342
0.94,1.02,25,True,0.0,1.0,0.5,1.0,0.7,0.8344350519366492,5.688879559631781,-0.21303048463330337,277,0.9119664634146342
0.94,1.02,15,True,0.0,1.0,0.7,1.0,0.5,0.833859883597235,4.6257164914727005,-0.2053260504506782,613,0.7903709349593495
0.94,1.02,15,True,0.0,1.0,0.7,1.0,0.3,0.833859883597235,4.6257164914727005,-0.2053260504506782,613,0.7903709349593495
0.94,1.02,15,True,0.0,1.0,0.7,1.0,0.7,0.833859883597235,4.6257164914727005,-0.2053260504506782,613,0.7903709349593495
0.94,1.06,25,True,0.0,1.0,0.5,1.0,0.7,0.8326221359450311,6.193896921176834,-0.21122626946473766,190,0.947535569105691
0.94,1.06,25,True,0.0,1.0,0.5,1.0,0.3,0.8326221359450311,6.193896921176834,-0.21122626946473766,190,0.947535569105691
0.94,1.06,25,True,0.0,1.0,0.5,1.0,0.5,0.8326221359450311,6.193896921176834,-0.21122626946473766,190,0.947535569105691
0.94,1.02,25,True,0.0,1.0,0.7,0.9,0.5,0.8323162183172029,5.237385108746102,-0.21405164956276498,455,0.8410823170731709
0.94,1.02,25,True,0.0,1.0,0.7,0.9,0.3,0.8323162183172029,5.237385108746102,-0.21405164956276498,455,0.8410823170731709
